gene_name	gene_biotype	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
Gene_1060	protein_coding	101	24	24	667	14	176
Gene_1061	protein_coding	1376	639	975	1181	1222	780
Gene_1062	lncRNA	365	313	158	520	305	288
Gene_1063	protein_coding	579	381	130	1460	935	460
Gene_1064	protein_coding	139	175	96	182	161	97
Gene_1065	protein_coding	995	1291	483	1876	427	953
Gene_1066	protein_coding	1851	1014	1415	797	566	636
Gene_1067	lncRNA	593	729	1145	1159	494	933
Gene_1068	protein_coding	278	89	104	96	137	135
Gene_1069	protein_coding	306	332	309	464	402	157
Gene_1070	protein_coding	2609	5772	1610	5623	1507	1903
Gene_1071	protein_coding	1245	1297	958	865	264	1022
Gene_1072	protein_coding	1011	517	901	397	697	618
Gene_1073	protein_coding	566	1275	1452	586	592	168
Gene_1074	pseudogene	1401	1556	823	3041	2164	2290
Gene_1075	protein_coding	1186	1317	1140	1242	2979	1379
Gene_1076	protein_coding	3024	1012	868	1311	1744	1053
Gene_1077	pseudogene	1076	1308	539	4089	759	2030
Gene_1078	protein_coding	557	1581	345	1338	665	999
Gene_1079	protein_coding	349	556	245	188	693	290
Gene_1080	protein_coding	2013	6611	1307	723	1083	1267
Gene_1081	protein_coding	1055	391	612	820	337	536
Gene_1082	pseudogene	2385	2526	2016	1942	1485	3184
Gene_1083	protein_coding	2544	4308	1770	10984	15614	10542
Gene_1084	protein_coding	226	315	221	180	117	83
Gene_1085	protein_coding	331	491	1004	955	273	111
Gene_1086	protein_coding	909	270	683	338	529	1577
Gene_1087	pseudogene	143	1334	324	1906	2150	410
Gene_1088	protein_coding	724	555	911	773	457	845
Gene_1089	protein_coding	152	357	32	102	319	239
Gene_1090	protein_coding	134	255	121	119	316	56
Gene_1091	pseudogene	591	670	386	553	600	547
Gene_1092	protein_coding	432	213	381	437	1519	960
Gene_1093	lncRNA	174	367	447	962	489	1274
Gene_1094	protein_coding	947	8466	2706	879	2994	2419
Gene_1095	protein_coding	565	2073	1074	3211	728	1101
Gene_1096	protein_coding	1154	1311	2383	1015	1392	868
Gene_1097	protein_coding	289	328	601	580	577	725
Gene_1098	protein_coding	1111	613	563	1149	908	1457
Gene_1099	pseudogene	1620	642	2123	1689	660	1020
Gene_1100	protein_coding	797	185	1494	1504	390	788
Gene_1101	protein_coding	514	227	614	702	720	2319
Gene_1102	protein_coding	6495	0	540	1790	610	550
Gene_1103	protein_coding	1250	867	374	652	331	337
Gene_1104	protein_coding	1770	827	259	1619	849	1464
Gene_1105	protein_coding	1061	2797	497	7	1710	62
Gene_1106	protein_coding	523	685	339	229	93	199
Gene_1107	lncRNA	755	532	248	1109	439	781
Gene_1108	protein_coding	224	1803	705	1691	335	1954
Gene_1109	lncRNA	1186	235	536	696	938	247
Gene_1110	lncRNA	2854	2303	1323	2047	499	7880
Gene_1111	protein_coding	5	6	1672	199	843	1075
Gene_1112	protein_coding	517	361	427	287	275	382
Gene_1113	pseudogene	1308	1002	774	690	773	1003
Gene_1114	protein_coding	1617	906	1600	946	2117	969
Gene_1115	protein_coding	531	206	544	547	168	275
Gene_1116	protein_coding	535	4360	1092	2657	778	1225
Gene_1117	lncRNA	714	816	495	607	951	509
Gene_1118	lncRNA	1377	1977	2556	3827	170	799
Gene_1119	protein_coding	491	1271	680	976	915	636
Gene_1120	pseudogene	176	500	4968	1473	1251	94
Gene_1121	protein_coding	355	1779	674	596	240	62
Gene_1122	pseudogene	579	395	360	1013	438	68
Gene_1123	protein_coding	24	38	54	58	47	65
Gene_1124	protein_coding	118	223	219	132	155	127
Gene_1125	lncRNA	766	1138	779	925	175	176
Gene_1126	lncRNA	106	140	45	53	186	256
Gene_1127	protein_coding	102	109	89	144	157	147
Gene_1128	lncRNA	812	1557	1781	1269	564	498
Gene_1129	protein_coding	1919	6222	2732	893	1080	1778
Gene_1130	protein_coding	562	1570	1382	392	315	755
Gene_1131	protein_coding	3221	1900	276	1791	1440	3616
Gene_1132	protein_coding	121	125	65	54	83	74
Gene_1133	protein_coding	1527	653	1963	754	757	1924
Gene_1134	protein_coding	70	136	298	744	649	433
Gene_1135	protein_coding	2284	1165	4272	1503	728	1115
Gene_1136	protein_coding	421	226	651	69	386	250
Gene_1137	protein_coding	319	791	160	492	1248	329
Gene_1138	protein_coding	961	829	1175	683	434	1586
Gene_1139	protein_coding	2780	1511	2140	1062	1288	2249
Gene_1140	protein_coding	595	219	136	287	487	50
Gene_1141	protein_coding	190	791	115	5	18	0
Gene_1142	pseudogene	2019	1140	1800	1002	1666	1664
Gene_1143	protein_coding	1518	1129	1154	1613	973	1018
Gene_1144	protein_coding	52	34	691	249	172	309
Gene_1145	protein_coding	469	735	289	271	506	454
Gene_1146	protein_coding	904	1359	760	1226	1004	1434
Gene_1147	protein_coding	1864	1215	1545	1862	1766	627
Gene_1148	protein_coding	515	1069	1320	887	1580	547
Gene_1149	protein_coding	2217	1113	1519	2565	489	2628
Gene_1150	protein_coding	232	2602	2461	844	2367	3095
Gene_1151	lncRNA	288	801	661	246	218	519
Gene_1152	protein_coding	430	396	567	839	160	654
Gene_1153	pseudogene	984	822	847	578	4467	1032
Gene_1154	lncRNA	5447	3345	1286	2689	839	1725
Gene_1155	protein_coding	346	199	438	311	412	347
Gene_1156	pseudogene	193	336	227	386	575	444
Gene_1157	protein_coding	775	1382	539	1827	998	227
Gene_1158	protein_coding	2863	1122	575	1929	1506	1364
Gene_1159	lncRNA	717	1167	1591	2766	412	612
Gene_1160	protein_coding	251	150	338	497	376	236
Gene_1161	protein_coding	1848	2118	1719	2654	2323	2487
Gene_1162	protein_coding	1030	373	718	503	116	264
Gene_1163	protein_coding	883	1358	596	558	1171	853
Gene_1164	protein_coding	269	193	258	113	140	257
Gene_1165	protein_coding	1913	856	606	1517	1132	1165
Gene_1166	protein_coding	1885	1630	1122	1942	2011	2003
Gene_1167	protein_coding	97	74	101	237	202	82
Gene_1168	protein_coding	1509	1181	1798	306	1628	2700
Gene_1169	protein_coding	963	757	1287	961	1236	1102
Gene_1170	protein_coding	410	1703	944	1500	1673	739
Gene_1171	protein_coding	2300	1221	927	1159	813	1014
Gene_1172	protein_coding	65	302	436	205	545	279
Gene_1173	lncRNA	396	269	167	352	741	954
Gene_1174	lncRNA	730	904	1198	922	1142	431
Gene_1175	protein_coding	481	1226	50	218	385	96
Gene_1176	protein_coding	307	823	280	257	175	564
Gene_1177	protein_coding	601	298	499	526	550	1074
Gene_1178	pseudogene	1209	1023	1193	1300	598	243
Gene_1179	protein_coding	606	717	670	1579	1242	1051
Gene_1180	pseudogene	235	688	2312	2148	1001	1717
Gene_1181	protein_coding	1797	1121	494	1871	508	1291
Gene_1182	protein_coding	319	120	333	176	216	214
Gene_1183	protein_coding	543	1296	931	2435	1753	829
Gene_1184	protein_coding	1526	1240	1148	582	1175	1196
Gene_1185	protein_coding	828	1112	703	1315	917	1877
Gene_1186	lncRNA	1000	2352	2026	2772	2274	1012
Gene_1187	protein_coding	1929	642	979	1073	1399	1432
Gene_1188	protein_coding	62	108	110	140	98	101
Gene_1189	protein_coding	2	15	227	26	203	105
Gene_1190	pseudogene	528	520	635	600	533	1123
Gene_1191	protein_coding	753	307	710	81	3	40
Gene_1192	protein_coding	633	1270	263	0	277	167
Gene_1193	protein_coding	1557	2056	2636	2053	1485	1721
Gene_1194	protein_coding	2994	1684	76	742	702	2924
Gene_1195	pseudogene	1461	2204	906	1058	2000	1358
Gene_1196	protein_coding	207	56	585	379	459	384
Gene_1197	protein_coding	1231	4069	102	214	1325	743
Gene_1198	protein_coding	951	750	104	826	260	1118
Gene_1199	lncRNA	537	766	1600	472	894	2421
Gene_1200	protein_coding	2099	3192	1441	948	2287	2019
Gene_1201	protein_coding	128	18	90	315	153	81
Gene_1202	protein_coding	298	500	651	740	288	559
Gene_1203	protein_coding	988	687	1671	906	1023	723
Gene_1204	protein_coding	836	486	724	561	140	300
Gene_1205	lncRNA	346	1164	1875	410	552	518
Gene_1206	pseudogene	453	483	756	620	682	987
Gene_1207	lncRNA	70	46	351	425	158	583
Gene_1208	protein_coding	998	2147	513	2264	912	814
Gene_1209	protein_coding	425	1450	1291	660	1046	816
Gene_1210	protein_coding	919	363	3256	2927	1859	2703
Gene_1211	pseudogene	330	98	204	505	578	106
Gene_1212	pseudogene	425	658	642	472	119	235
Gene_1213	protein_coding	267	719	343	813	459	826
Gene_1214	protein_coding	400	570	259	786	352	481
Gene_1215	lncRNA	557	1594	2293	2167	1005	1796
Gene_1216	protein_coding	753	3190	696	836	2282	760
Gene_1217	protein_coding	387	1523	837	677	472	1666
Gene_1218	protein_coding	826	510	553	635	1194	3804
Gene_1219	protein_coding	301	580	1724	1242	426	1559
Gene_1220	lncRNA	332	361	403	749	1118	1184
Gene_1221	protein_coding	1157	1182	1312	1062	1508	1565
Gene_1222	protein_coding	1222	1681	5328	3128	3769	3572
Gene_1223	protein_coding	443	864	183	113	550	141
Gene_1224	protein_coding	9	510	0	0	5	465
Gene_1225	pseudogene	1308	753	946	547	842	1095
Gene_1226	lncRNA	1608	1817	1293	1170	706	2018
Gene_1227	protein_coding	1394	1	152	550	1770	0
Gene_1228	protein_coding	342	376	1340	1850	910	1818
Gene_1229	lncRNA	479	895	1070	1505	821	411
Gene_1230	protein_coding	1028	1699	177	1310	1316	2216
Gene_1231	lncRNA	2977	1960	3768	3238	2834	1646
Gene_1232	protein_coding	669	853	1954	2141	1829	1248
Gene_1233	protein_coding	1265	988	1450	893	585	892
Gene_1234	lncRNA	1227	1275	256	885	1106	636
Gene_1235	lncRNA	291	134	101	217	209	111
Gene_1236	protein_coding	1129	449	834	920	565	1391
Gene_1237	protein_coding	500	536	449	1197	412	415
Gene_1238	protein_coding	945	1572	2124	2053	1211	1875
Gene_1239	protein_coding	299	90	545	1480	41	21
Gene_1240	protein_coding	1020	778	1710	1772	1023	1004
Gene_1241	lncRNA	3179	1062	1604	493	3051	1024
Gene_1242	protein_coding	1258	586	1035	580	1182	1684
Gene_1243	lncRNA	1262	1319	1455	1709	732	1738
Gene_1244	pseudogene	1672	1141	3429	447	1244	1956
Gene_1245	protein_coding	1013	768	930	597	1144	611
Gene_1246	lncRNA	319	284	241	239	251	414
Gene_1247	protein_coding	342	281	117	657	757	169
Gene_1248	lncRNA	209	693	484	287	127	424
Gene_1249	protein_coding	617	2290	1222	692	582	69
Gene_1250	lncRNA	1334	1375	352	2094	1735	590
Gene_1251	protein_coding	906	1604	181	572	284	347
Gene_1252	lncRNA	184	402	313	200	21	105
Gene_1253	protein_coding	2232	1222	795	2282	6291	1279
Gene_1254	protein_coding	1079	1237	200	706	1436	1198
Gene_1255	protein_coding	823	755	1115	598	1186	418
Gene_1256	protein_coding	614	728	1147	1446	796	1598
Gene_1257	protein_coding	1149	734	2377	387	2725	1413
Gene_1258	protein_coding	1516	778	1496	4121	1516	2277
Gene_1259	protein_coding	135	1	187	2	26	34
Gene_1260	pseudogene	851	319	741	724	155	1853
Gene_1261	protein_coding	2198	6321	2803	3498	859	2176
Gene_1262	protein_coding	410	316	249	359	254	350
Gene_1263	protein_coding	1194	745	1366	3227	1379	436
Gene_1264	protein_coding	1174	775	231	918	2738	2112
Gene_1265	protein_coding	112	2939	1814	773	351	1403
Gene_1266	protein_coding	235	392	345	196	537	738
Gene_1267	lncRNA	1312	1972	2704	1766	1068	2190
Gene_1268	protein_coding	1220	433	634	445	251	475
Gene_1269	pseudogene	3422	1234	693	551	573	987
Gene_1270	protein_coding	601	184	713	279	477	578
Gene_1271	protein_coding	2612	1278	1128	2253	2125	2141
Gene_1272	protein_coding	619	247	126	226	183	649
Gene_1273	protein_coding	132	520	1151	262	378	405
Gene_1274	protein_coding	1469	398	433	1480	832	1884
Gene_1275	protein_coding	6220	2862	258	535	2922	1018
Gene_1276	protein_coding	485	276	208	434	310	85
Gene_1277	protein_coding	4750	2852	1663	604	1912	1569
Gene_1278	protein_coding	749	692	2111	1889	1862	801
Gene_1279	protein_coding	590	20	1079	371	476	464
Gene_1280	protein_coding	2085	661	265	1042	400	960
Gene_1281	lncRNA	265	372	1686	648	70	286
Gene_1282	protein_coding	729	734	583	649	680	553
Gene_1283	protein_coding	1831	1069	1106	820	1120	820
Gene_1284	protein_coding	306	4	223	871	257	42
Gene_1285	protein_coding	576	10	25	1	3571	293
Gene_1286	protein_coding	1140	3298	1261	1672	429	1423
Gene_1287	protein_coding	1964	1316	2904	3895	1979	1716
Gene_1288	protein_coding	2488	1492	1508	1542	2640	788
Gene_1289	protein_coding	355	361	331	368	619	860
Gene_1290	protein_coding	1282	714	1286	936	534	91
Gene_1291	protein_coding	1514	1660	1985	1625	1375	761
Gene_1292	protein_coding	1277	1465	2106	1457	1040	1889
Gene_1293	protein_coding	1160	805	870	1719	425	392
Gene_1294	protein_coding	332	430	471	220	348	198
Gene_1295	lncRNA	742	129	451	878	432	529
Gene_1296	protein_coding	960	675	492	198	681	169
Gene_1297	protein_coding	487	720	966	609	819	869
Gene_1298	protein_coding	398	1133	321	80	353	354
Gene_1299	protein_coding	609	485	528	1057	633	464
Gene_1300	protein_coding	995	463	452	749	839	575
Gene_1301	lncRNA	339	999	472	531	1059	1482
Gene_1302	pseudogene	1213	3698	1298	1007	1793	259
Gene_1303	protein_coding	1361	1877	418	558	1390	4596
Gene_1304	protein_coding	973	549	1594	677	2056	594
Gene_1305	protein_coding	150	1887	401	684	21	803
Gene_1306	lncRNA	4389	168	401	10666	3194	1269
Gene_1307	protein_coding	1725	1678	1373	900	1353	2072
Gene_1308	lncRNA	1599	2606	5567	2110	1494	409
Gene_1309	pseudogene	191	417	1330	412	766	404
Gene_1310	protein_coding	448	181	145	197	251	474
Gene_1311	protein_coding	675	276	120	599	151	103
Gene_1312	protein_coding	428	915	1666	889	1330	435
Gene_1313	protein_coding	201	7	214	43	341	205
Gene_1314	protein_coding	67	0	87	6839	8	194
Gene_1315	protein_coding	3	79	1163	22	1886	4
Gene_1316	protein_coding	802	1172	929	244	777	949
Gene_1317	protein_coding	360	1654	1888	1044	515	2005
Gene_1318	protein_coding	922	1005	1135	367	392	582
Gene_1319	lncRNA	772	64	37	674	170	835
Gene_1320	protein_coding	312	1132	1777	665	530	2253
Gene_1321	protein_coding	134	308	192	152	198	607
Gene_1322	protein_coding	296	197	322	69	62	446
Gene_1323	lncRNA	1379	1326	2665	3322	3753	2354
Gene_1324	pseudogene	440	357	328	195	410	239
Gene_1325	protein_coding	246	505	438	77	698	124
Gene_1326	lncRNA	433	598	843	801	854	460
Gene_1327	lncRNA	2256	719	1794	1108	732	1153
Gene_1328	lncRNA	388	453	418	436	637	893
Gene_1329	pseudogene	100	350	309	109	341	247
Gene_1330	protein_coding	620	117	89	343	435	88
Gene_1331	protein_coding	112	8077	133	319	954	4770
Gene_1332	protein_coding	264	1692	1309	682	158	187
Gene_1333	lncRNA	1182	371	674	912	516	1377
Gene_1334	pseudogene	998	518	1966	702	588	1871
Gene_1335	protein_coding	329	607	1221	1023	1356	1862
Gene_1336	protein_coding	428	250	210	204	230	537
Gene_1337	protein_coding	1113	1795	769	9153	13609	3490
Gene_1338	protein_coding	1418	726	1023	1518	368	1941
Gene_1339	protein_coding	254	218	168	27	75	57
Gene_1340	protein_coding	112	239	273	378	674	204
Gene_1341	lncRNA	2851	1675	4455	2964	830	1676
Gene_1342	protein_coding	717	244	145	143	761	238
Gene_1343	protein_coding	730	426	1703	3057	1586	1883
Gene_1344	protein_coding	36	37	417	1131	1109	285
Gene_1345	protein_coding	1874	992	3081	2060	1616	781
Gene_1346	lncRNA	1073	714	1048	750	718	371
Gene_1347	protein_coding	177	390	174	145	285	81
Gene_1348	protein_coding	1014	2056	1358	895	1191	1824
Gene_1349	protein_coding	918	1263	1119	1132	1052	1169
Gene_1350	protein_coding	827	408	790	718	1100	536
Gene_1351	protein_coding	912	663	330	902	1680	1377
Gene_1352	protein_coding	1109	2843	2732	521	419	1967
Gene_1353	protein_coding	181	73	265	132	78	352
Gene_1354	protein_coding	181	718	755	1582	843	1600
Gene_1355	protein_coding	673	839	2646	355	2988	640
Gene_1356	protein_coding	351	337	378	457	594	348
Gene_1357	protein_coding	27	14	5	95	867	588
Gene_1358	protein_coding	867	1385	866	855	1342	541
Gene_1359	protein_coding	465	320	779	113	43	147
Gene_1360	protein_coding	3994	5744	3368	2208	355	1474
Gene_1361	protein_coding	821	357	516	621	488	631
Gene_1362	lncRNA	170	261	653	745	421	739
Gene_1363	protein_coding	236	144	137	245	351	126
Gene_1364	protein_coding	404	463	349	527	287	635
Gene_1365	lncRNA	636	2946	305	997	1895	443
Gene_1366	protein_coding	1448	598	643	403	1791	212
Gene_1367	protein_coding	347	317	280	304	315	272
Gene_1368	protein_coding	308	416	226	316	294	269
Gene_1369	lncRNA	415	138	221	98	157	339
Gene_1370	protein_coding	807	428	563	1247	985	253
Gene_1371	protein_coding	1271	363	921	514	872	368
Gene_1372	protein_coding	917	1268	1011	987	937	574
Gene_1373	protein_coding	681	1007	989	607	641	557
Gene_1374	protein_coding	1130	1608	1841	2199	1191	2361
Gene_1375	protein_coding	1154	1110	448	171	1290	1973
Gene_1376	protein_coding	166	109	216	162	27	266
Gene_1377	protein_coding	931	1118	910	814	1539	1145
Gene_1378	protein_coding	1226	1306	1194	1319	2012	1217
Gene_1379	protein_coding	1977	219	1909	1070	511	3816
Gene_1380	pseudogene	359	404	517	436	656	389
Gene_1381	protein_coding	413	4409	5822	1365	3007	474
Gene_1382	lncRNA	979	515	639	807	609	656
Gene_1383	protein_coding	703	2179	1445	709	1282	1906
Gene_1384	protein_coding	1204	1102	1649	1451	1017	681
Gene_1385	protein_coding	2214	3375	3119	2414	3583	1733
Gene_1386	protein_coding	1756	2332	886	1706	1426	1942
Gene_1387	protein_coding	623	601	1535	1347	1298	916
Gene_1388	protein_coding	2574	2957	3984	1574	621	2267
Gene_1389	protein_coding	1573	351	2466	774	772	360
Gene_1390	protein_coding	926	636	289	878	1253	2391
Gene_1391	protein_coding	1076	1207	2008	1453	1048	2451
Gene_1392	lncRNA	396	311	648	166	736	506
Gene_1393	protein_coding	1190	1007	911	669	803	553
Gene_1394	protein_coding	296	127	225	162	321	349
Gene_1395	protein_coding	918	1278	931	448	441	110
Gene_1396	protein_coding	490	947	1168	961	1163	421
Gene_1397	protein_coding	801	900	538	322	608	679
Gene_1398	protein_coding	1403	1432	1457	2481	2350	1572
Gene_1399	protein_coding	1941	2881	1135	214	1302	538
Gene_1400	protein_coding	1755	1484	2498	1502	2495	1867
Gene_1401	protein_coding	204	396	49	260	477	286
Gene_1402	protein_coding	14	49	19	0	59	9
Gene_1403	protein_coding	1279	1625	4014	1648	1642	2201
Gene_1404	protein_coding	789	727	1271	563	1282	592
Gene_1405	protein_coding	1827	673	1826	628	4818	163
Gene_1406	protein_coding	1697	1490	1347	3104	1089	1683
Gene_1407	protein_coding	1273	1357	873	1318	1264	1149
Gene_1408	protein_coding	316	258	683	32	4462	15
Gene_1409	protein_coding	451	577	928	1002	565	1064
Gene_1410	protein_coding	1323	1971	1093	922	2353	664
Gene_1411	protein_coding	185	698	349	285	298	458
Gene_1412	protein_coding	229	368	1691	610	558	101
Gene_1413	protein_coding	650	990	778	1104	387	592
Gene_1414	protein_coding	837	726	962	136	65	87
Gene_1415	protein_coding	346	407	421	436	508	371
Gene_1416	protein_coding	4487	3201	1529	2959	658	2278
Gene_1417	protein_coding	1840	1554	2962	444	2740	612
Gene_1418	protein_coding	1321	911	2188	1333	1027	2064
Gene_1419	protein_coding	3388	2995	3161	680	1649	4520
Gene_1420	lncRNA	379	954	1105	1089	583	1270
Gene_1421	protein_coding	158	263	484	105	636	464
Gene_1422	protein_coding	468	382	855	518	192	283
Gene_1423	pseudogene	2189	3275	2559	1735	2335	2237
Gene_1424	lncRNA	1000	1057	2067	179	528	693
Gene_1425	protein_coding	544	1870	980	505	511	869
Gene_1426	pseudogene	206	184	251	12	242	180
Gene_1427	protein_coding	588	667	387	682	717	976
Gene_1428	protein_coding	363	299	1104	545	609	679
Gene_1429	lncRNA	668	1117	1079	504	1270	85
Gene_1430	lncRNA	896	376	635	162	209	375
Gene_1431	protein_coding	2474	1666	2189	722	1103	1765
Gene_1432	pseudogene	1702	146	163	1323	3386	3954
Gene_1433	pseudogene	1563	1779	5417	2488	884	1378
Gene_1434	lncRNA	222	133	261	246	240	165
Gene_1435	protein_coding	539	441	1913	1066	841	1209
Gene_1436	protein_coding	221	144	119	297	501	220
Gene_1437	protein_coding	131	211	177	457	237	576
Gene_1438	pseudogene	1391	648	506	332	624	422
Gene_1439	protein_coding	1148	865	1470	929	709	1817
Gene_1440	protein_coding	305	1800	1581	552	1724	919
Gene_1441	protein_coding	540	681	1416	82	304	3061
Gene_1442	protein_coding	2188	1096	2069	929	1444	1724
Gene_1443	pseudogene	917	939	821	1023	950	977
Gene_1444	protein_coding	666	901	1537	2048	419	993
Gene_1445	protein_coding	1155	1190	498	197	1306	805
Gene_1446	protein_coding	1582	1967	381	1699	2324	1268
Gene_1447	protein_coding	1905	405	4641	1170	714	1134
Gene_1448	lncRNA	569	386	218	302	289	82
Gene_1449	protein_coding	446	598	364	161	338	320
Gene_1450	lncRNA	462	1378	681	532	1621	128
Gene_1451	pseudogene	1070	668	879	2477	1146	1403
Gene_1452	protein_coding	1291	1214	1379	2356	1471	1373
Gene_1453	protein_coding	294	514	400	745	305	257
Gene_1454	protein_coding	729	980	1709	1846	673	1355
Gene_1455	protein_coding	185	596	367	36	136	932
Gene_1456	pseudogene	379	599	346	477	442	400
Gene_1457	protein_coding	655	1161	2713	732	600	1531
Gene_1458	protein_coding	1686	1391	1100	1232	587	612
Gene_1459	protein_coding	1204	6606	1878	568	3705	2
Gene_1460	protein_coding	1393	666	4029	866	569	2067
Gene_1461	protein_coding	2560	3455	2913	2218	3284	878
Gene_1462	protein_coding	1368	576	724	1230	525	1375
Gene_1463	protein_coding	70	222	108	100	274	47
Gene_1464	protein_coding	773	523	912	1136	648	382
Gene_1465	protein_coding	2537	1477	1471	1975	1240	1802
Gene_1466	protein_coding	1305	798	1738	464	1320	523
Gene_1467	protein_coding	560	810	780	956	302	503
Gene_1468	protein_coding	866	2121	506	685	1555	495
Gene_1469	protein_coding	180	273	276	246	125	241
Gene_1470	protein_coding	589	315	749	185	208	321
Gene_1471	lncRNA	553	490	1033	1774	1543	885
Gene_1472	protein_coding	1384	45	632	108	133	153
Gene_1473	protein_coding	367	163	80	346	621	345
Gene_1474	lncRNA	3378	524	2599	765	957	2430
Gene_1475	protein_coding	254	206	387	334	313	335
Gene_1476	protein_coding	2447	911	1942	872	1297	1311
Gene_1477	lncRNA	581	345	525	1082	630	316
Gene_1478	protein_coding	1925	1454	181	1441	362	255
Gene_1479	protein_coding	1963	2520	2809	1017	1369	837
Gene_1480	lncRNA	158	260	115	223	74	150
Gene_1481	protein_coding	318	588	438	1255	225	566
Gene_1482	pseudogene	195	1984	755	265	1321	1305
Gene_1483	pseudogene	545	1281	914	771	871	604
Gene_1484	protein_coding	96	2365	1004	491	434	157
Gene_1485	protein_coding	195	296	325	736	271	549
Gene_1486	protein_coding	5453	3444	4121	4087	1260	4245
Gene_1487	protein_coding	5460	3644	1934	2190	900	1960
Gene_1488	pseudogene	1124	325	153	85	82	298
Gene_1489	protein_coding	542	460	709	345	816	119
Gene_1490	protein_coding	1168	589	315	394	484	536
Gene_1491	protein_coding	383	533	631	1307	941	342
Gene_1492	protein_coding	60	722	1193	170	809	171
Gene_1493	protein_coding	2388	2643	1390	2871	740	3995
Gene_1494	protein_coding	1445	1472	1555	2685	1172	3611
Gene_1495	protein_coding	264	384	270	308	552	868
Gene_1496	protein_coding	1086	1775	459	1086	1772	368
Gene_1497	protein_coding	1245	2690	1374	353	2045	1978
Gene_1498	protein_coding	166	1484	1365	541	6532	1026
Gene_1499	protein_coding	970	2308	2894	956	2430	647
Gene_1500	protein_coding	2085	888	1079	2104	308	1158
Gene_1501	protein_coding	531	101	283	209	286	325
Gene_1502	pseudogene	746	615	526	519	430	826
Gene_1503	protein_coding	275	70	403	110	180	41
Gene_1504	pseudogene	1399	98	1919	1225	897	629
Gene_1505	protein_coding	755	2238	1273	1799	4148	1983
Gene_1506	protein_coding	870	1149	658	657	837	1071
Gene_1507	protein_coding	2737	4242	2652	1866	1232	1620
Gene_1508	protein_coding	496	995	1031	207	638	187
Gene_1509	protein_coding	50	330	54	100	173	84
Gene_1510	protein_coding	827	1412	2306	1025	1523	1183
Gene_1511	protein_coding	1039	1473	653	1311	769	1648
Gene_1512	protein_coding	796	1742	2330	196	98	1354
Gene_1513	protein_coding	324	847	276	1483	2363	1298
Gene_1514	protein_coding	126	2612	2060	116	126	1091
Gene_1515	pseudogene	623	413	1022	564	876	288
Gene_1516	protein_coding	167	772	374	973	1	259
Gene_1517	protein_coding	1391	779	1679	2395	356	1244
Gene_1518	protein_coding	3	327	249	472	120	166
Gene_1519	protein_coding	4136	5586	3705	2344	1628	2590
Gene_1520	pseudogene	4015	7007	12665	2351	4153	11377
Gene_1521	protein_coding	452	501	332	397	439	308
Gene_1522	protein_coding	509	305	327	200	210	477
Gene_1523	protein_coding	277	347	281	564	413	567
Gene_1524	protein_coding	202	1427	1314	4014	2407	1164
Gene_1525	protein_coding	1032	1066	193	101	513	453
Gene_1526	protein_coding	1656	1407	715	1881	1179	990
Gene_1527	protein_coding	102	33	16	2	60	6
Gene_1528	protein_coding	203	522	551	445	670	524
Gene_1529	lncRNA	221	3242	1572	636	2134	1866
Gene_1530	lncRNA	777	1391	529	1596	20	835
Gene_1531	protein_coding	224	740	637	154	753	145
Gene_1532	lncRNA	159	123	64	128	99	100
Gene_1533	protein_coding	1962	1172	2706	318	2879	2552
Gene_1534	protein_coding	819	1341	1964	1071	712	891
Gene_1535	protein_coding	199	442	242	127	345	622
Gene_1536	pseudogene	777	498	1028	1127	979	399
Gene_1537	protein_coding	1067	378	1444	2519	1119	152
Gene_1538	protein_coding	978	3024	852	757	1511	1177
Gene_1539	protein_coding	72	289	283	262	85	282
Gene_1540	protein_coding	481	2068	1310	1747	497	494
Gene_1541	pseudogene	349	496	205	191	425	275
Gene_1542	lncRNA	403	612	142	350	389	240
Gene_1543	protein_coding	691	838	506	449	591	509
Gene_1544	protein_coding	2647	239	2165	1624	1003	851
Gene_1545	protein_coding	593	954	690	1173	766	837
Gene_1546	lncRNA	947	3499	1317	786	123	912
Gene_1547	protein_coding	4521	1838	340	6196	2589	5432
Gene_1548	protein_coding	2270	1574	2057	782	2953	3285
Gene_1549	lncRNA	126	107	45	32	100	44
Gene_1550	protein_coding	66	243	124	86	76	61
Gene_1551	protein_coding	382	464	603	1541	1514	1537
Gene_1552	lncRNA	2941	640	784	93	339	1474
Gene_1553	protein_coding	50	89	54	28	102	98
Gene_1554	protein_coding	636	5302	147	265	377	245
Gene_1555	protein_coding	125	2112	1566	1417	1233	264
Gene_1556	protein_coding	1852	655	535	371	620	893
Gene_1557	protein_coding	359	1429	2141	1371	232	1199
Gene_1558	protein_coding	1147	393	266	932	166	39
Gene_1559	protein_coding	404	531	114	186	42	207
Gene_1560	protein_coding	834	1375	456	572	464	989
Gene_1561	protein_coding	325	1624	255	561	1249	1128
Gene_1562	pseudogene	1255	902	505	1159	1007	1146
Gene_1563	lncRNA	1738	1200	560	665	715	751
Gene_1564	protein_coding	583	432	254	359	285	346
Gene_1565	protein_coding	108	366	216	210	250	292
Gene_1566	protein_coding	2674	3229	2177	1297	1832	1278
Gene_1567	protein_coding	174	209	164	220	157	137
Gene_1568	pseudogene	228	867	3823	1895	1073	2507
Gene_1569	lncRNA	2976	503	1927	3388	1339	5558
Gene_1570	protein_coding	966	403	759	380	846	686
Gene_1571	protein_coding	796	450	699	305	133	580
