gene_name	gene_biotype	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
2900060B14Rik	lncRNA	590	383	587	321	438	395
LOC131391064	protein_coding	733	532	539	496	1009	376
Celsr1	protein_coding	162	97	83	48	30	169
Iap3rb19	pseudogene	1748	1220	1119	1272	1018	1134
LOC131390015	lncRNA	1291	1219	2029	330	359	436
Gm42177	pseudogene	132	58	114	75	277	393
Gm18186	protein_coding	1513	624	1004	610	2456	261
Zfp697	protein_coding	0	6	264	25350	33644	16503
Gm13310	protein_coding	908	1098	1629	1818	2686	2744
Popdc3	protein_coding	20	2	36	157	207	158
Gm19027	protein_coding	146	115	145	314	126	150
Gm12650	protein_coding	85	405	1166	590	226	922
LOC131386250	protein_coding	1832	4872	4636	2455	1332	1987
D5Ertd700e	lncRNA	235	866	356	926	349	570
Zbp1	pseudogene	616	721	428	187	1428	263
Bsdc1	protein_coding	64	98	74	53	64	72
Uchl4	protein_coding	2926	247	633	250	42	1439
Gm35310	protein_coding	659	1507	909	1448	369	1944
B930086H10Rik	protein_coding	107	24	84	67	56	27
Hspb2	lncRNA	210	569	162	151	102	148
LOC131297645	lncRNA	1341	1022	3081	3807	714	2440
Olfr511-ps1	protein_coding	1198	1353	774	2326	558	602
Gm44507	protein_coding	2269	5457	2961	1140	2485	723
LOC131379978	protein_coding	1095	1414	1189	245	970	572
AU022848	protein_coding	632	715	705	528	553	203
D15Mit143	pseudogene	11	716	3705	66	1135	808
Gm22936	pseudogene	273	1397	4328	1095	1269	2720
LOC132411595	pseudogene	959	812	883	1051	688	906
Gm51948	protein_coding	488	242	335	773	606	556
Gm40376	pseudogene	817	715	464	600	1067	775
Pla2g4c	pseudogene	469	447	375	1025	1169	1087
Gm5387	pseudogene	2542	822	360	422	711	1569
LOC131387721	protein_coding	841	156	215	568	1994	131
Hbtq	protein_coding	2120	1367	231	518	438	1065
LOC131385464	protein_coding	66	177	603	215	330	3
Gm29293	protein_coding	793	582	200	296	610	493
LOC132408341	protein_coding	587	288	269	68	341	188
LOC128926620	pseudogene	763	814	1299	882	348	247
LOC131375563	protein_coding	434	326	626	220	544	390
LOC132410400	lncRNA	1333	3154	1114	2144	1475	2167
Sprr2g	protein_coding	422	47	215	447	170	21
Gm13391	lncRNA	255	188	275	156	214	119
Gzme	protein_coding	456	373	373	326	617	320
Gm21317	lncRNA	3551	3339	452	206	9243	4700
LOC131386396	pseudogene	727	697	930	1181	1064	811
Mir337	lncRNA	1105	3896	341	496	167	682
LOC131297590	protein_coding	354	198	748	200	128	70
LOC132442386	pseudogene	971	302	2920	1112	2386	635
Gm28321	protein_coding	1262	39	312	633	212	312
LOC131375238	protein_coding	816	1480	1614	1190	1155	948
LOC131373025	protein_coding	316	148	185	344	274	376
B230340J04Rik	protein_coding	716	904	2196	561	623	1334
LOC131339835	protein_coding	200	665	793	588	166	65
LOC131373183	protein_coding	108	91	261	267	264	268
Gm29487	protein_coding	459	12	915	115	273	213
Scfr1	protein_coding	709	208	288	780	381	664
Gm54282	lncRNA	5538	3094	3544	1419	1818	2704
Gm25922	protein_coding	864	834	971	2024	890	1254
LOC131339406	protein_coding	21	68	347	198	236	204
Zcchc12	pseudogene	325	166	289	711	1192	411
LOC131375113	protein_coding	586	2056	359	403	480	383
LOC128925193	protein_coding	4744	1832	2766	3753	3026	2395
Gm28934	protein_coding	598	445	572	730	884	598
Mn1	protein_coding	34	116	2417	2	0	51
Gm6913	protein_coding	928	829	1247	614	722	1672
LOC131392710	pseudogene	1007	677	967	2873	5088	7664
LOC132441644	protein_coding	119	168	351	70	51	477
Gm52785	protein_coding	66	3	157	25	229	11
LOC131380128	protein_coding	2331	3074	401	2903	1774	604
Pou4f2	lncRNA	762	422	625	964	1134	330
Gm34014	protein_coding	497	583	258	345	813	136
LOC131389406	protein_coding	1401	1575	373	586	161	657
Gm24278	pseudogene	1163	4525	1268	392	2830	3451
Cfid	pseudogene	243	633	141	223	1144	956
Gm14730	protein_coding	118	241	508	14	29	170
LOC132411997	lncRNA	522	3907	2304	3321	1493	913
LOC131384972	pseudogene	670	64	2026	1361	991	295
LOC131374876	protein_coding	4675	1654	1065	546	2271	957
Krtap6-6	protein_coding	814	1466	1097	3023	5235	4774
LOC131296850	protein_coding	2648	646	794	473	1285	846
Pls1	protein_coding	418	242	591	529	590	437
LOC132409653	protein_coding	1253	2262	885	1926	872	1144
LOC132409503	protein_coding	183	181	189	185	197	165
Gm7166	protein_coding	32	682	566	93	70	335
Ir3	protein_coding	155	61	124	108	142	101
Ubiad1	protein_coding	766	647	1080	1300	796	1658
LOC131385067	protein_coding	3331	862	367	502	674	97
LOC131376115	lncRNA	478	374	430	162	130	570
LOC132411540	protein_coding	2430	2032	917	423	919	1554
D830013O20Rik	protein_coding	1218	2148	1231	722	429	613
Gm16867	protein_coding	688	620	1043	1475	997	847
LOC131341742	protein_coding	212	123	249	257	267	201
LOC131379068	protein_coding	3641	635	2575	1460	1551	2104
Potefam3c	protein_coding	919	469	635	436	1109	746
LOC128925067	protein_coding	1598	2840	1848	3747	1460	2612
Gm20736	protein_coding	383	665	1231	1220	579	2584
Irf7	protein_coding	500	9	300	2027	5	811
D1Mit541	protein_coding	1438	123	266	5	1946	19
LOC132410130	protein_coding	2840	1554	1736	1679	1126	574
LOC132412976	lncRNA	540	276	382	348	388	368
LOC131387445	lncRNA	214	6	151	72	27	44
LOC131387869	lncRNA	4477	4019	2873	2754	4183	5037
Hspa-ps	lncRNA	795	1300	867	1302	652	946
Gm31477	pseudogene	1030	2395	657	1240	2457	1668
Iap8-1	lncRNA	1982	1237	3487	911	1450	4876
Tlm	protein_coding	113	1197	1024	895	868	767
Ighv6-2	protein_coding	424	112	582	863	253	554
D5Mit73	lncRNA	794	448	1068	518	805	536
LOC128925482	pseudogene	359	65	62	1007	209	328
LOC132410519	protein_coding	2460	2144	1743	1451	1322	932
LOC131387541	protein_coding	1817	912	1322	1220	890	1711
Cdcs10	lncRNA	592	2187	3490	1770	1706	1330
LOC131297550	protein_coding	904	627	1009	1289	1249	641
LOC131297823	protein_coding	2087	1025	483	1146	1494	770
LOC131392174	protein_coding	567	735	5	121	473	420
Alg6	lncRNA	2397	1614	1585	874	2062	1003
Sials	protein_coding	434	683	389	1479	1619	1744
Gatm	lncRNA	1708	1248	1594	1188	1748	1017
Gm8354	protein_coding	1751	1481	1115	287	253	105
Lonrf2	protein_coding	348	818	871	280	1658	977
DXMit78	protein_coding	294	260	139	233	302	415
LOC132444444	protein_coding	43	25	58	73	42	76
D18Mit94	protein_coding	771	505	433	423	340	663
Cyp4a31	pseudogene	500	331	82	1055	1422	257
Nelfb	protein_coding	668	214	590	458	590	1508
Gm32143	protein_coding	458	2012	1031	276	213	533
Rps23-ps1	lncRNA	409	1448	639	282	205	346
LOC131377305	lncRNA	21	97	96	148	90	93
LOC131385781	lncRNA	1510	879	1403	121	2298	1154
Gm16477	protein_coding	1039	1538	1714	1846	802	1553
LOC131374641	protein_coding	3138	1475	4749	1480	505	1953
LOC131340567	protein_coding	283	463	354	126	492	331
D13Mit265	pseudogene	91	83	46	28	10	17
LOC132412474	lncRNA	95	304	250	141	221	594
LOC110120388	protein_coding	558	1415	1200	1048	3310	471
Gm36491	lncRNA	394	1247	810	511	732	236
Gm30296	protein_coding	336	458	366	150	186	822
LOC131373136	protein_coding	1184	1239	671	1056	1659	1073
Cercam	protein_coding	321	366	556	529	691	425
LOC132407831	protein_coding	337	490	296	437	274	524
Gm14362	lncRNA	790	1847	1085	2456	2593	2733
Gm32187	lncRNA	786	939	654	1418	1784	699
LOC131338343	protein_coding	506	1884	992	2324	1633	641
LOC131341803	protein_coding	461	1079	331	1209	2839	2183
6030458A19Rik	lncRNA	748	123	43	665	575	435
Mir875	pseudogene	2174	1008	1072	2592	2744	3947
Gm46628	protein_coding	791	260	339	1694	1057	1396
LOC131385971	protein_coding	1170	1359	1791	461	1047	1251
Gm9984	protein_coding	212	215	235	115	48	224
Gm7695	pseudogene	4599	1971	317	643	1521	3780
n-TItat14	pseudogene	479	303	566	711	566	575
Gm22847	protein_coding	955	991	1397	847	1390	824
LOC131375504	protein_coding	1619	1123	3910	1839	2718	1803
Gm19010	protein_coding	531	810	658	1146	683	538
LOC131296493	protein_coding	1199	292	592	1637	609	1623
D10Mit109	pseudogene	1385	631	1270	654	959	859
LOC109279883	protein_coding	1116	1613	3460	2197	3577	3494
Speer1h	protein_coding	1084	2732	1186	958	1436	1228
LOC131297311	protein_coding	1200	823	491	776	979	671
LOC132441969	pseudogene	81	108	107	178	182	171
LOC131373145	protein_coding	1494	1006	1213	456	449	1143
Yme1l1	protein_coding	440	308	646	674	595	399
Gm42107	protein_coding	685	756	540	653	398	685
LOC128926536	protein_coding	601	4592	2533	728	6372	682
Gm23965	lncRNA	2287	36	918	850	0	914
D7Mit79	protein_coding	396	228	359	114	189	471
D1Mit430	protein_coding	406	695	461	838	364	488
D4Ertd78e	protein_coding	1066	1608	2361	1707	1199	1308
LOC132411769	protein_coding	916	1302	1198	1344	619	2009
Gm10158	protein_coding	1638	1135	1235	540	1069	312
LOC132410121	protein_coding	1276	1514	1678	1467	766	2305
Drb4	protein_coding	535	312	578	267	986	703
LOC131379230	protein_coding	152	13012	2576	993	1609	2621
Gm7255	protein_coding	734	1624	537	361	1132	957
LOC132440462	protein_coding	781	1206	1098	1387	690	2164
Prok2	protein_coding	497	132	868	148	155	586
Gm40670	protein_coding	637	1303	922	2544	1681	1094
Sod1	protein_coding	1414	2888	1728	775	3405	2450
Gm54082	protein_coding	220	508	582	171	174	611
Sox9	protein_coding	503	1021	564	1095	231	1004
Gm35141	protein_coding	285	361	341	432	278	333
Gm14305	protein_coding	128	0	525	1	1	221
LOC131389007	protein_coding	151	421	313	1335	297	1047
Pih1d1	protein_coding	646	1280	896	1470	901	3233
LOC131388858	pseudogene	607	693	667	486	1331	439
LOC131373692	protein_coding	1977	2812	2138	565	1032	3082
Gm41238	protein_coding	1305	922	1058	1040	535	1783
Gm10785	lncRNA	794	1784	1615	2176	263	1294
Ppard	pseudogene	26	369	30	0	3	0
Psg16	lncRNA	244	95	337	253	233	168
LOC128927997	protein_coding	1108	229	307	100	570	38
LOC132409107	lncRNA	615	803	670	319	406	499
LOC131371396	protein_coding	793	431	607	389	400	702
Map6d1	protein_coding	575	1337	1000	899	2120	973
Tmevd7	protein_coding	999	303	1494	832	948	470
Mannr	protein_coding	620	508	159	108	172	491
LOC131391016	protein_coding	641	123	70	141	83	87
Adam20	lncRNA	744	1084	939	1550	780	795
Gm29889	lncRNA	458	938	1096	796	953	600
LOC131391837	lncRNA	5071	2534	1675	733	4658	1396
Pdp2	protein_coding	2401	2218	2430	3636	1559	1747
Gm5034	protein_coding	400	363	259	343	304	248
LOC131377205	protein_coding	2756	341	3152	2731	643	1793
Fendrr	protein_coding	613	29	287	549	11	225
3110037L02Rik	protein_coding	1990	435	161	1493	949	1386
Efna4	protein_coding	266	375	259	501	269	589
Stra6	protein_coding	114	71	77	93	41	104
2900042A17Rik	protein_coding	547	648	1131	730	193	226
LOC131377731	lncRNA	1143	1903	1897	1555	1857	1029
LOC131386558	protein_coding	3138	3834	395	890	1874	682
Gpt2	lncRNA	470	588	227	220	1726	285
Mtpap	pseudogene	1411	1195	2227	998	919	3018
LOC131386025	pseudogene	1516	310	527	139	662	827
Mrgpra4	protein_coding	462	406	459	576	205	463
LOC132410761	protein_coding	1582	477	2268	3531	4292	2251
5830433D23Rik	protein_coding	184	96	107	203	146	202
Psmb5	protein_coding	0	15	1902	1919	114	590
Gm53690	lncRNA	929	1007	1020	958	1301	1006
Ndufa5	protein_coding	568	279	630	1145	1673	537
Peli3	pseudogene	442	464	403	1140	486	777
Gm16231	protein_coding	51	840	3303	232	3558	3656
Serpinb9g	protein_coding	691	874	480	949	313	786
Gm11645	pseudogene	625	554	556	504	406	1083
LOC131379856	protein_coding	2017	3118	2751	2883	1737	4055
Gm12251	protein_coding	177	93	109	749	188	85
Edc3	protein_coding	362	144	150	93	338	271
Klra5	protein_coding	0	507	1035	98	1328	10073
LOC131372933	lncRNA	398	697	612	246	714	222
LOC131377300	protein_coding	1768	1528	210	1452	663	892
LOC131295281	lncRNA	546	64	8317	2114	998	968
Igh-Ns2	lncRNA	1366	5519	1867	1059	1892	551
Gm41241	protein_coding	3420	3150	4001	1653	214	5347
LOC131372295	protein_coding	113	905	99	188	120	86
LOC132409804	protein_coding	495	501	403	185	632	390
Gm42196	protein_coding	655	265	3592	584	2845	3452
Mir497	protein_coding	796	231	120	32	1958	174
LOC132408154	protein_coding	135	223	228	835	819	1115
Fzd2	protein_coding	1000	905	1583	689	945	836
Btbd35f15	pseudogene	4302	138	2030	5618	3845	644
Gm36431	protein_coding	222	601	428	124	630	214
Gm6004	protein_coding	184	597	528	792	895	449
LOC131379183	protein_coding	575	1019	709	559	768	520
LOC131339827	pseudogene	1666	1392	1450	1337	902	1631
Rd3l	protein_coding	1156	766	416	385	591	977
Gm33721	protein_coding	2877	378	3154	5330	1201	2886
LOC132407846	protein_coding	394	412	272	1082	657	292
Gm31761	protein_coding	536	845	385	932	275	410
Exa	protein_coding	3844	918	810	3667	2415	2614
4930432L08Rik	protein_coding	153	324	208	224	630	115
LOC132411019	protein_coding	2448	2783	2360	2302	3541	2937
LOC132442796	protein_coding	238	857	294	837	413	317
EC192RR	protein_coding	1392	1280	1769	1799	2549	1266
Dhrs7	protein_coding	280	488	680	953	699	1362
Ccdc33	protein_coding	389	782	328	919	1742	781
Fgr	protein_coding	112	202	167	145	349	599
LOC131378081	pseudogene	530	1581	275	73	269	370
Prox2os	lncRNA	1225	907	304	830	324	2069
D14Mit239a	protein_coding	308	171	307	445	948	737
C030038I04Rik	protein_coding	651	1047	1545	1193	1584	514
Gm36859	protein_coding	2735	2293	2224	933	747	5713
LOC131374470	protein_coding	2773	1021	2174	1344	2391	1752
LOC131338204	protein_coding	691	260	395	407	237	224
LOC128924269	protein_coding	1837	48	810	81	280	1428
LOC131376011	protein_coding	615	2698	1864	428	1707	445
Gm8515	protein_coding	1477	1238	1383	1802	1104	414
Bcr	pseudogene	2012	4465	4990	2336	2838	2550
LOC132445305	protein_coding	767	1002	3421	3507	4992	6730
Vmn2r-ps15	lncRNA	989	780	539	1657	864	599
Cars1	protein_coding	2644	3216	4107	1935	4205	1850
Gm52637	protein_coding	413	200	469	585	428	311
LOC131374233	protein_coding	21	234	486	433	2339	22
LOC131339262	protein_coding	198	164	132	214	390	307
Mark1-ps2	pseudogene	151	230	228	258	247	206
Ssc5d	protein_coding	563	176	155	150	420	739
Fam89b	protein_coding	640	353	171	223	6044	3546
Slc7a7	protein_coding	397	983	951	671	1007	2279
LOC131377032	lncRNA	1247	1356	3111	2289	951	1850
Il17rd	lncRNA	621	2450	341	380	228	105
LOC131297224	protein_coding	1650	590	641	708	459	148
LOC131385678	protein_coding	539	328	590	540	240	442
LOC131297075	protein_coding	0	600	170	97	390	2
n-TMcat7	protein_coding	5813	807	2493	276	106	900
Fgfbp3	protein_coding	3454	725	883	2694	875	2857
LOC128924833	protein_coding	316	324	300	972	318	194
LOC131374884	protein_coding	290	251	468	186	309	276
LOC131341870	protein_coding	446	426	440	536	258	203
Fbrsl1	protein_coding	1202	834	1344	1810	1348	393
Gm15310	protein_coding	150	93	215	341	218	247
Gm15240	protein_coding	555	55	108	333	701	71
LOC131337350	protein_coding	192	144	175	278	200	146
D13Mit243	pseudogene	283	257	239	214	544	256
LOC131378191	lncRNA	142	592	14	98	0	160
A430093F15Rik	protein_coding	2347	32	689	1740	1636	2594
LOC131372372	protein_coding	214	223	553	156	431	265
LOC131376498	pseudogene	1125	2855	1918	1273	946	1222
Gm15446	protein_coding	436	435	1443	164	760	177
Gm21409	protein_coding	438	218	200	220	268	82
Mir365-1	protein_coding	3476	424	411	1682	385	484
Gm35044	pseudogene	582	1675	1341	1088	1042	984
Gm18129	lncRNA	22	713	1843	97	898	1679
LOC131377605	protein_coding	1466	708	1209	323	271	522
Gm36879	protein_coding	144	532	201	1951	1363	1319
Defa-rs9	protein_coding	166	1084	723	312	119	144
LOC132411719	protein_coding	2204	1774	2044	2252	1414	1202
LOC131385580	protein_coding	703	779	407	484	1006	1141
Dynlt1b	lncRNA	1707	832	1533	1334	2665	1410
LOC132412376	protein_coding	649	126	80	93	130	38
Omt2a	pseudogene	797	231	462	1316	660	105
Gm35769	protein_coding	504	733	614	216	834	644
Ly6e-ps1	lncRNA	761	3986	3621	1158	4994	959
LOC132411917	protein_coding	183	442	351	701	114	442
LOC131380340	protein_coding	206	110	146	123	181	225
LOC131338869	lncRNA	450	418	740	596	502	706
Cachd1	protein_coding	177	333	205	129	92	380
Gm41916	protein_coding	612	330	674	90	147	372
LOC132412802	protein_coding	1307	658	1107	1052	1045	2027
LOC132409258	lncRNA	789	590	804	1139	1073	1035
D13Mit78	lncRNA	819	842	751	1212	1579	914
Gm38951	protein_coding	593	257	193	1968	439	4065
LOC131341043	protein_coding	181	145	180	481	537	394
9330188P03Rik	protein_coding	1198	644	481	1253	1338	655
LOC131295298	protein_coding	3322	1186	3746	1306	835	1396
Csta1	lncRNA	491	945	1979	3796	556	1191
Krtap9-1	protein_coding	1439	1401	473	884	714	430
Gm21753	protein_coding	624	908	461	296	1068	1108
Stox1	protein_coding	2212	104	85	3116	605	3325
Timd6	protein_coding	1995	855	313	1288	2047	1116
LOC131371836	lncRNA	250	68	546	277	244	48
Fam110b	protein_coding	354	918	441	687	1314	1104
Setbp1	protein_coding	401	435	984	2415	1164	1362
LOC132411103	lncRNA	5081	6694	1478	4239	643	1742
LOC128927558	pseudogene	343	1202	717	2070	1451	462
LOC131375338	protein_coding	754	771	525	510	245	725
4930480K23Rik	protein_coding	1589	581	1299	289	693	2838
LOC131375632	protein_coding	1266	860	1117	852	835	746
LOC131338482	protein_coding	453	684	773	444	545	626
Ighv5-16	protein_coding	3969	3790	2418	3324	690	7150
D2Ertd329e	protein_coding	1172	376	1074	1831	1317	772
Gm14964	pseudogene	805	576	2057	426	2677	684
Lrrn1	protein_coding	759	673	941	835	1002	384
Gm40027	lncRNA	653	971	469	690	579	902
Gm32339	protein_coding	52	446	243	48	176	757
Gm6446	lncRNA	314	476	336	587	174	504
Gm30162	protein_coding	1423	5409	2462	503	1603	985
LOC132410679	protein_coding	2021	764	1608	950	1245	1277
LOC131388989	protein_coding	518	558	519	635	453	182
Ube2l6	protein_coding	2950	3171	636	2727	6461	1434
Trbv28	protein_coding	6	230	565	1447	272	1130
LOC131390549	protein_coding	312	402	369	587	790	352
Gm18665	protein_coding	326	203	556	414	167	210
LOC131337316	protein_coding	178	328	100	136	481	381
LOC131296180	pseudogene	401	335	472	649	779	773
Gm35470	lncRNA	1026	788	946	926	848	593
LOC132442763	pseudogene	583	825	376	719	1143	719
T25669	lncRNA	474	306	458	338	780	600
LOC131339959	pseudogene	1374	1025	1361	1103	855	499
Gm23455	protein_coding	1396	1100	1147	367	1546	41
LOC132441295	lncRNA	860	716	1359	1913	652	785
Gm40511	protein_coding	386	656	179	360	233	391
Gm42084	protein_coding	1130	898	1087	2010	1017	956
LOC128924614	pseudogene	753	4091	2780	4129	358	2153
Wta4	protein_coding	2097	1288	2047	2145	1427	346
LOC131296751	protein_coding	1464	1695	1471	1270	1239	720
Gm5637	protein_coding	106	410	89	106	217	198
LOC131385463	lncRNA	84	124	24	65	38	88
Im7	lncRNA	1222	463	1625	344	440	532
LOC108489981	protein_coding	930	1674	1668	2033	984	1100
1700051A21Rik	protein_coding	783	941	1160	491	1569	577
Or2a56	protein_coding	370	585	1230	727	1343	799
C77614	protein_coding	2439	1519	810	691	293	620
Eif2ak2	protein_coding	1380	302	1208	682	3742	3346
Ppp1r3f	pseudogene	822	720	844	1102	942	529
Gm22118	lncRNA	651	471	353	582	366	590
D13Mit52	pseudogene	1396	1662	856	824	1570	1928
Gm36492	protein_coding	496	1510	794	470	557	468
Gm17857	protein_coding	784	1141	913	673	980	1472
LOC132412178	lncRNA	567	765	574	1059	812	866
4732468M13Rik	pseudogene	85	127	50	61	128	113
LOC131391803	pseudogene	1236	583	1121	1142	1431	233
Ba5	protein_coding	2730	660	2154	1093	3270	638
LOC128924212	protein_coding	643	853	1339	631	843	568
LOC131391404	lncRNA	322	1940	415	1352	368	652
Igkv4-55	protein_coding	561	1674	1370	996	643	637
Gm20781	protein_coding	1763	666	1293	1183	1516	996
LOC131376320	protein_coding	2838	2208	1492	4520	4856	2211
Gm40412	protein_coding	1553	918	1059	1617	2185	1645
Gm22447	protein_coding	850	879	784	796	1118	1008
LOC131339059	protein_coding	494	328	278	233	813	545
Gm40067	protein_coding	49	86	228	190	76	127
LOC131295820	protein_coding	4504	2099	5032	4914	2970	2963
LOC107228251	protein_coding	2056	514	1610	1506	1781	1253
LOC131297442	protein_coding	116	101	126	120	46	77
LOC132411165	protein_coding	720	818	503	929	1583	463
Gm40305	protein_coding	1863	1605	1529	1685	3938	3011
LOC132408346	lncRNA	1010	1393	661	459	693	1291
Pcdha7	protein_coding	104	282	487	629	961	1063
Mageb17-ps	protein_coding	1701	2556	306	1593	2714	441
LOC132445101	pseudogene	172	57	99	89	126	74
Dvb11-1	protein_coding	609	1820	1802	146	2538	3326
LOC128924721	lncRNA	1828	820	503	1006	1046	677
D830024N08Rik	lncRNA	1844	3809	2691	2212	3650	2032
LOC128926839	protein_coding	261	1389	475	501	793	645
LOC132412636	protein_coding	1191	1785	684	743	2453	525
Vps9d1	lncRNA	356	127	550	194	638	158
Gm53428	protein_coding	160	574	1264	202	103	1081
Gm53307	protein_coding	380	1586	1235	921	530	582
LOC132408566	lncRNA	448	522	723	450	530	500
Clps	pseudogene	1774	909	3555	1355	1136	1558
1700111N16Rik	protein_coding	85	436	3394	2378	3481	505
LOC131385404	protein_coding	1321	1552	1271	2005	1802	1584
Gm33591	protein_coding	1550	1292	1459	768	591	1555
LOC131341919	protein_coding	2978	264	460	2483	900	2725
AU019868	protein_coding	744	660	338	642	192	1011
Gm19896	protein_coding	3171	517	595	2690	2142	1362
LOC132409185	lncRNA	3157	748	1681	944	1880	912
DXMgc23	protein_coding	3668	1642	4497	4462	3782	1450
LOC128924443	protein_coding	288	415	468	284	238	187
Gm5477	pseudogene	1232	1181	4433	2056	1901	1139
Lrrcc1	protein_coding	4691	3577	244	697	1933	1601
LOC132445019	protein_coding	349	681	669	603	333	455
Gm41150	protein_coding	1638	1420	727	354	1206	1151
LOC128924557	protein_coding	628	996	2201	3392	324	931
A930023M06Rik	lncRNA	874	2718	1169	2178	1196	991
LOC132444108	lncRNA	618	50	135	302	153	70
LOC131295989	protein_coding	447	400	2188	2033	1296	2121
LOC131339598	protein_coding	199	981	367	194	295	375
Gm32302	protein_coding	427	410	589	353	433	1108
LOC131373966	protein_coding	880	914	600	1087	717	802
Gm35502	protein_coding	2526	1760	1426	1599	1072	843
Gm41974	protein_coding	1497	185	993	1747	1024	394
Fdps	protein_coding	456	2191	1295	429	235	1386
LOC131389121	protein_coding	489	1203	1887	563	928	394
LOC131372613	protein_coding	579	1294	431	499	665	1480
LOC131380599	pseudogene	1174	955	1665	2159	1835	1087
LOC128926798	protein_coding	138	311	293	116	194	478
Xkr6	protein_coding	1062	1398	835	1097	2763	1004
Arigm3	protein_coding	1941	2890	758	583	741	767
Ndn	protein_coding	608	634	1212	704	1035	796
LOC131374854	protein_coding	738	888	1316	461	1189	486
LOC131379561	protein_coding	80	86	1038	399	533	1416
Gm54238	pseudogene	846	1235	1149	635	725	467
Ttll9	pseudogene	718	912	432	640	375	503
Gm33882	pseudogene	1500	4755	4651	421	1625	5702
Or51k1	protein_coding	252	353	348	536	438	217
LOC131385959	protein_coding	895	156	1004	203	328	454
Gm49083	protein_coding	294	1039	41	227	1682	517
LOC131390252	protein_coding	970	447	789	388	1098	667
Oscp1	lncRNA	506	166	707	336	150	598
D11Mit329	protein_coding	1095	535	1945	371	264	506
Gm25651	pseudogene	708	1451	551	796	1303	844
Gm23908	protein_coding	1551	2469	788	785	1086	1555
LOC131376771	lncRNA	262	595	437	400	450	407
Copg1	protein_coding	171	6	0	120	11	10
Or51f23b	lncRNA	458	2526	1109	2017	213	477
Lamr1-rs2	protein_coding	1683	4281	2295	3004	5817	215
Gm29984	protein_coding	1173	1641	2151	408	726	1550
LOC131388489	protein_coding	371	398	802	279	613	904
Gm23596	protein_coding	102	194	46	75	87	511
Trav13d-4	protein_coding	113	187	60	115	50	136
Gm13496	protein_coding	146	226	23	72	81	111
LOC131391527	protein_coding	1719	2405	1513	1763	1625	2990
Htr4	protein_coding	1469	2543	1993	1732	2395	1900
LOC131380059	protein_coding	793	836	3750	1832	976	2809
Mir12192	protein_coding	196	148	67	149	79	28
LOC131339692	protein_coding	101	97	102	97	114	87
Gm5648	protein_coding	527	689	1230	828	383	264
n-TIaat4	protein_coding	1200	1375	596	1817	874	423
Gm9993	lncRNA	139	258	4364	532	2510	79
2900076G11Rik	protein_coding	2752	3328	541	102	1249	912
LOC132412957	protein_coding	743	1122	1009	655	647	570
Gm11967	protein_coding	508	1222	303	910	1347	650
LOC131339374	protein_coding	424	322	1161	572	582	347
Cpne9	protein_coding	607	257	99	820	59	194
Gm6732	protein_coding	1714	1415	903	1338	946	1095
LOC131372922	protein_coding	2586	1652	173	1378	4254	146
LOC131376130	protein_coding	143	224	341	288	159	85
Gm32888	protein_coding	745	528	731	1678	1214	986
AI181832	protein_coding	198	199	335	253	387	362
Gm36152	lncRNA	659	252	344	606	288	620
Ptpn13	protein_coding	966	838	63	768	100	223
LOC128925830	protein_coding	1324	1112	1713	1152	431	2317
LOC131391832	protein_coding	172	371	587	505	320	744
LOC131380325	protein_coding	3478	1347	1431	1318	1536	5385
LOC132408670	protein_coding	402	503	26	539	52	354
Tel6p	lncRNA	131	177	444	606	1096	858
Septin5	lncRNA	4135	1286	1654	246	811	413
LOC132441800	lncRNA	2568	1881	1781	4513	2174	1851
Skts6	pseudogene	292	250	302	172	246	224
Gm35815	protein_coding	740	461	918	734	1171	1341
Gm39668	lncRNA	1848	537	358	1001	475	569
LOC131377333	protein_coding	888	779	1321	1991	1335	1958
Gm3015	protein_coding	2114	4191	1828	3184	887	1960
Gm51502	protein_coding	632	1172	827	423	758	946
Gm52353	protein_coding	1041	1030	1233	1171	1451	1808
LOC132412956	protein_coding	1437	1004	1082	1994	932	958
D12Mit81	protein_coding	313	196	268	250	197	187
LOC131380424	protein_coding	198	695	49	31	6	16
Gm16249	protein_coding	1786	942	1826	1444	684	999
Slc6a17	protein_coding	436	1432	526	564	152	722
Gm26057	protein_coding	1774	1603	1999	2668	6713	9483
LOC118568795	protein_coding	1639	2091	497	910	872	3358
Gm39948	protein_coding	546	395	813	458	487	180
Gm19197	protein_coding	625	1063	920	2776	1250	1593
Gm10734	protein_coding	183	216	357	372	278	160
Arf2	protein_coding	938	1037	1477	2073	717	306
Gm52069	protein_coding	958	1371	772	1025	747	826
Hmga2-ps1	protein_coding	421	531	595	371	259	458
Wfdc18	protein_coding	299	323	539	294	374	320
Mageb1	protein_coding	309	763	1343	1119	1031	1505
Marcksl1-ps3	protein_coding	248	553	211	21	446	692
LOC131388325	protein_coding	325	615	744	725	818	620
Lsm7	protein_coding	271	517	608	502	465	1221
LOC131337193	lncRNA	369	235	202	366	427	421
LOC131374285	protein_coding	1040	1000	204	2065	2156	1126
A930019H14Rik	lncRNA	940	2254	1897	1565	1070	1630
Rb(11.13)6Lub	protein_coding	460	390	128	697	489	921
Gm24267	protein_coding	559	918	162	154	406	377
Tcrd-D	protein_coding	576	789	1258	1430	582	1652
Gm51479	lncRNA	692	123	1333	1796	471	1745
Plep	lncRNA	469	540	528	359	391	284
